Source_ID,Source_Sheet,Expected_Record_Count,Expected_Date_Min,Expected_Date_Max,Resource_ID,Revision_ID,Acquisition_Strategy,Revision_Download_URLs,Expected_Curated_Content_SHA256,Known_Independent_Raw_SHA256,Dataset_Page,Upstream_License,Notes
SRC054,2024-08,331,2024-08-03,2024-08-31,14d1af19-6090-486a-a8fc-008ba8bfd8cb,413473,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/413473/download,d13cae7fb90606523871bd964f716c53278d346d176786c469018c7a7fb1317f,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),Portal shows the same legacy checksum for different revisions; calculate independent SHA-256 for archived raw bytes.
SRC055,2024-09,887,2024-09-01,2024-09-30,14d1af19-6090-486a-a8fc-008ba8bfd8cb,417683,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/417683/download,5ef213e72bffeacb4d54adedcf9f197260a67e0351a451cb0f4a8744b8da0461,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC056,2024-10,479,2024-10-01,2024-10-28,14d1af19-6090-486a-a8fc-008ba8bfd8cb,421735,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/421735/download,7498492f920384c953b29f97560d799156100d76be84cc72af6be28e4d3ecb02,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC057,2024-11,336,2024-11-04,2024-11-25,14d1af19-6090-486a-a8fc-008ba8bfd8cb,426349,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/426349/download,8d0d6434e00db396ce5338c8ee50d88b7cd288c92592919c59ac262dc76575ff,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC058,2024-12,382,2024-12-02,2024-12-24,14d1af19-6090-486a-a8fc-008ba8bfd8cb,431229,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/431229/download,bd82791159cfc2769ad84d41373edab253d30a43ac0fe32ad90ffbd66c663a9a,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC059,2025-01,249,2025-01-04,2025-01-30,14d1af19-6090-486a-a8fc-008ba8bfd8cb,435259,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/435259/download,da4d94d96df7f6bb3db408e112c73e23e1c93858728a2ad9979bb085f077916c,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC060,2025-02-february,279,2025-02-01,2025-02-19,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461337,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461337/download,76fbea28cd7d3cf59dcc7fb0446f519d0b540a3490b6be76477ec779e883f49f,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC061,2025-03-march,529,2025-03-03,2025-03-30,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461339,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461339/download,b820e996cc4f4098727fdf8ad75a4eb8f4486dea134548d5c6a3508bd947eeea,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC062,2025-04-april,531,2025-04-01,2025-04-28,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461343,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461343/download,ec4c47af2675385232fc10a36df55f674729c095c1af1bf264e1a0550b0c2e14,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC063,2025-05-may,531,2025-05-01,2025-05-27,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461346,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461346/download,7a9fc6efbf53f2b19650e8b3a147c3b58f4e08f7d163bbd03e595d6989f6d89f,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
